;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
AGRALE;;null;null;null;null;;;;;;;;;null;null
MARRUA;;null;null;null;null;;;;;;;;;null;null
C/S 2,8 AM 100 4X4;;null;null;null;null;;;;;26353;24629;22776;20907;null;null
D/C 2,8 AM 100 4X4;;null;null;null;null;;;;;28305;26453;24171;22187;null;null
D/C 2,8 AM 150 4X4;;null;null;null;null;;;;;32209;30102;27425;25173;null;null
D/C 2,8 AM 200 4X4;;null;null;46327;44121;42020;40019;38114;;34649;32382;29749;27307;null;null
C/S 3,8 EUROVI AM 250 S/CAJA 4X4;111,660;122826;null;null;null;;;;;;;;;null;null
D/C 3,8 EUROVI AM 250 S/CAJA 4X4;119,708;131679;null;null;null;;;;AGR;ALE 0KM;EN US$;;;null;null
C/S 3,8 EUROVI AM 250 C/CAJA 4X4;118,972;130869;null;null;null;;;;;;;;;null;null
D/C 3,8 EUROVI AM 250 C/CAJA 4X4;125,847;138432;null;null;null;;;;;;;;;null;null
D/C 3,8 EUROVI AM 250 C/CAJA AT 4X4;141,194;155313;null;null;null;;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
ALFA ROMEO;;null;null;null;null;;;;;;;;;null;null
159;;null;null;null;null;;;;;;;;;null;null
4P 1,8 TBI 200CV DISTINCTIVE;;null;null;null;null;;;;;;;;;23823;23276
4P 2,2 JTS 185CV S-SPEED CRO;;null;null;null;null;;;AL;FA 0KM;EN US$;;;;null;21758
4P 2,2 JTS 189CV S-SPEED DISTINCTIVE;;null;null;null;null;;;;;;;;24104;23326;22770
4P 3,2 JTS HIGHT 4X4 CA ELEGANCE;;null;null;null;null;;;;;;;;25398;24579;23992
BRERA;;null;null;null;null;;;;;;;;;null;null
COUPE 2,2 JTS S-SPEED 6TA;;null;null;null;null;;;;;;;;;null;32831
COUPE 3,2 MD 4X4 CA;;null;null;null;null;;;;;;;;;null;38564
GIULIA;;null;null;null;null;;;;;;;;;null;null
4P 2,0 T AT RDW 200CV DISTINCTIVE;;null;null;null;null;44922;42783;40644;38611;;;;;null;null
4P 2,0 T AT RDW 200CV DISTINCTIVE 2020;;null;null;58583;54244;51661;49201;;;;;;;null;null
4P 2,0 T AT AWD 280CV VELOCE;;null;null;null;null;55052;52431;49809;47319;;;;;null;null
4P 2,0 T AT AWD 280CV VELOCE 2020;79,800;79990;72662;69201;64075;61024;58118;;;;;;;null;null
4P 2,9 BT AT RDW 510CV QUADRIFOGLIO;;null;null;null;null;;119610;113630;105213;;;;;null;null
4P 2,9 BT AT RDW 510CV QUADRIFOGLIO 2020;;null;202810;192669;178397;169902;161812;;;;;;;null;null
4P 2,9 BT 8AT 520CV QV SUPER SPORT 2025;242,000;266200;null;null;null;;;;;;;;;null;null
GIULIETTA;;null;null;null;null;;;;;;;;;null;null
5P 1,4 120CV PROG. SPRINT M6;;null;null;null;null;;24904;24055;22182;21468;20253;;;null;null
5P 1,4 120CV PROG. SPRINT M6 CRO MILANO;;null;null;null;null;;26564;25658;23661;22899;21603;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,4 120CV PROG. SPRINT M6 CRO MILANO TECHNOLOGY;;null;null;null;null;;27124;26199;24159;23381;22058;;;null;null
5P 1,4 120CV PROG. SPRINT M6 CRO MILANO NAV;;null;null;null;null;;;;24375;23590;;;;null;null
5P 1,4 120CV PROGRESSION;;null;null;null;null;;;;;;;18451;17603;16632;16240
5P 1,4 120CV PROGRESSION CRO MILANO;;null;null;null;null;;;;;;;19596;18695;17664;17247
5P 1,4 120CV DISTINCTIVE;;null;null;null;null;;;;;;;;17634;16661;16269
5P 1,4 170CV DISTINCTIVE;;null;null;null;null;;;;;;;19560;18661;17632;17216
5P 1,4 170CV DISTINCTIVE T/C;;null;null;null;null;;;;;;;20852;19894;18796;18353
5P 1,4 170CV DISTINCTIVE TCT AT;;null;null;null;null;;;;;;;22624;21584;20393;19912
5P 1,4 170CV DISTINCTIVE TCT T/C AT;;null;null;null;null;;;;;;;23708;22619;21371;20867
5P 1,4 170CV DISTINCTIVE TCT T/C AT CRO;;null;null;null;null;;;;;;;23634;22548;null;null
5P 1,4 170CV DISTINCTIVE TCT PREMIUM;;null;null;null;null;;;;;;;26358;25147;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M;;null;null;null;null;;31261;30196;27845;26948;25423;;;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO;;null;null;null;null;;;;29323;28379;26773;;;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY;;null;null;null;null;;;;29822;28862;27228;;;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY T/C;;null;null;null;null;;;;31297;30289;28575;;;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC;;null;null;null;null;;32478;31371;28928;27997;;;;null;null
5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC NAV;;null;null;null;null;;33380;32242;29732;28775;;;;null;null
5P 1,4 170CV TCT PROGRESSION AT;;null;null;null;null;;;;;;;20017;19097;18043;17618
5P 1,4 170CV TCT PROGRESSION AT CRO;;null;null;null;null;;;;;;;21194;20220;19104;18654
5P 1,8 TBI 235CV QUADRIFOGLIO;;null;null;null;null;;;;;;;28513;27202;25701;25096
5P 1,8 TBI 235CV QUADRIFOGLIO T/C;;null;null;null;null;;;;;;;29769;28400;26834;26201
5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE;;null;null;null;null;;;;37679;36465;34402;;;null;null
5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE T/C;;null;null;null;null;;;;39044;37787;35649;;;null;null
5P 1,8 TCT 240CV VELOCE;;null;null;null;null;;39912;38551;35550;34405;;;;null;null
5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC;;null;null;null;null;;43730;42240;38951;37697;;;;null;null
5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC NAV;;null;null;null;null;;44732;43207;39844;38561;;;;null;null
5P 1,8 TCT 240CV VELOCE GRIGIO RACER;;null;null;null;null;;41502;40088;;;;;;null;null
5P 1,8 TCT 240CV VELOCE 2020;;null;null;null;null;;42114;40678;;;;;;null;null
MiTo;;null;null;null;null;;;;;;;;;null;null
3P 1,4 JUNIOR;;null;null;null;null;;;;18393;17027;16224;14807;13855;12843;12353
3P 1,4 JUNIOR CRO MILANO;;null;null;null;null;;;;19811;18340;17475;15547;14547;13485;12970
3P 1,4 JUNIOR CRO MILANO TECHNOLOGY;;null;null;null;null;;;;20301;18794;17907;15829;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
3P 1,4 JUNIOR CRO MILANO TECHNOLOGY NAV;;null;null;null;null;;;;21179;19606;;;;null;null
3P 1,4 PROGRESSION M5;;null;null;null;null;;24549;24068;20232;;;;;null;null
3P 1,4 PROGRESSION M5 CRO MILANO;;null;null;null;null;;26442;25923;21792;;;;;null;null
3P 1,4 PROGRESSION M5 CRO MILANO TECHNOLOGY;;null;null;null;null;;27095;26564;22331;;;;;null;null
3P 1,4 PACK RACER;;null;null;null;null;;;;;;16510;15588;;null;null
3P 1,4 MULTIAIR 6TA PROGRESSION;;null;null;null;null;;;;;;;;14806;13725;13201
3P 1,4 MULTIAIR 6TA PLUS;;null;null;null;null;;;;;;;;16362;15167;14588
3P 1,4 TBI 6TA DISTINCTIVE;;null;null;null;null;;;;;;;;15492;14361;13813
3P 1,4 TBI 6TA DISTINCTIVE T/C;;null;null;null;null;;;;;;;;16397;15200;14620
3P 1,4 T MULTIAIR 6TA DISTINCTIVE;;null;null;null;null;;;;;;;;16679;15462;14871
3P 1,4 T MULTIAIR 6TA DISTINCTIVE T/C;;null;null;null;null;;;;;;;;17574;16291;15669
3P 1,4 TBI 6TA QUADRIFOGLIO T/C;;null;null;null;null;;;;;;;;18608;17250;16591
3P 1,4 T PROGRESSION TCT 2012;;null;null;null;null;;;;;;;19547;18290;16955;16248
3P 1,4 T PROGRESSION TCT CRO MILANO 2012;;null;null;null;null;;;;;;;20640;19313;17903;17157
3P 1,4 T QV M6 CRO ALCANTARA 2013;;null;null;null;null;;;;;;;19583;18324;16986;null
3P 1,4 T QV M6 CRO ALCANTARA T/C 2013;;null;null;null;null;;;;;;;21115;19757;18315;null
3P 1,4 T QV M6 CRO MILANO 2013;;null;null;null;null;;;;;;;20884;19541;18115;null
3P 1,4 T QV M6 CRO MILANO T/C 2013;;null;null;null;null;;;;;;;21296;19926;18472;null
3P 1,4 T QV M6 CRO MILANO T/C PREMIUM 2013;;null;null;null;null;;;;;;;23310;21811;20218;null
3P 1,4 T QV M6 CRO MILANO T/C PACK RACER;;null;null;null;null;;;;;;;23470;;null;null
3P 1,4 T TCT DISTINCTIVE AT 2012;;null;null;null;null;;;;;;;21477;20096;18629;17853
3P 1,4 T TCT DISTINCTIVE T/C 2012;;null;null;null;null;;;;;;;22363;20924;19397;18589
3P 1,4 T 170CV VELOCE M6;;null;null;null;null;;26125;25613;21531;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO;;null;null;null;null;;27693;27150;22823;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY;;null;null;null;null;;29286;28711;24136;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV;;null;null;null;null;;30305;29711;24976;;;;;null;null
3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV SUNROOF;null;null;null;null;null;;31484;30867;25948;;;;;null;null
3P 1,4 T 170CV VELOCE TCT;;null;null;null;null;;;;24136;22344;21237;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO;;null;null;null;null;;;;25486;23594;22425;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY;;null;null;null;null;;;;25948;24021;22831;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;;null;null;null;null;;32479;31842;26767;24780;;;;null;null
3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;null;null;null;null;null;;33550;32892;27650;25597;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2014;2013;2012;null
3P 1,4 T 170CV QUADRIFOGLIO 6M;;null;null;null;null;;;;23508;21763;20685;;;null;null
3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO;;null;null;null;null;;;;24859;23014;21873;;;null;null
3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO TECHNOLOGY;;null;null;null;null;;;;25317;23438;22276;;;null;null
3P 1,4 T 170CV QUADRI 6M CRO MILA TECHNOLOGY RACER;;null;null;null;null;;;;26026;24094;22900;;;null;null
3P 1,4T SPORT 2012;;null;null;null;null;;;;;;;16417;15218;14637;null
3P 1,4T SPORT T/C 2012;;null;null;null;null;;;;;;;16877;15645;15048;null
SPIDER;;null;null;null;null;;;;;;;;;null;null
CABRIO 2,2 JTS S-SPEED 6TA;;null;null;null;null;;;;;;;;;43845;null
STELVIO;;null;null;null;null;;;;;;;;;null;null
5P 2,0 T AT AWD 200CV DISTINCTIVE;;null;null;null;null;52884;45684;44226;42800;;;;;null;null
5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;;null;null;73853;68382;65126;56258;;;;;;;null;null
5P 2,0 T AT AWD 280CV VELOCE;null;null;null;null;null;75072;64850;63472;61426;null;null;null;null;null;null
5P 2,0 T AT AWD 280CV VELOCE 2020;;null;91741;87372;80900;77048;66557;;;;;FA 0KM;EN US$;null;null
5P 2,0 T AT AWD 280CV SUPER Q4 2021;86,000;100915;91741;87479;80999;;;;;;;;;null;null
5P 2,9 BT RWD 510CV QUADRIFOGLIO;196,000;217394;197631;187749;173842;165564;143020;;;;;;;null;null
TONALE;;null;null;null;null;;;;;;;;;null;null
5P 1,5 T 7AT MHEV SPRINT;59,800;51248;46589;null;null;;;;;;;;;null;null
5P 1,5 T 7AT MHEV VELOCE;;56398;51271;null;null;;;;;;;;;null;null
5P 1,3 T 6AT PHEV 4Q TRIBUTO ITALIANO;;72157;65598;null;null;;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
AUDI;;null;null;null;null;;;;;;;;;null;null
A1;;null;null;null;null;;;;;;;;;null;null
3P 1,2 TFSI ATTRACTION;;null;null;null;null;;;;;;;14621;13707;13116;null
3P 1,4 TFSI AMBITION;;null;null;null;null;;;;22527;20483;18192;16138;15288;14755;null
3P 1,4 TFSI AMBITION S-TRONIC;;null;null;null;null;32926;30513;26668;23351;21232;18920;16929;16079;15575;null
