Marca;Modelo;Version;year;avg;currency
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2021;;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2020;;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2019;;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2018;;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2017;26353;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2016;24629;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2015;22776;USD
AGRALE;MARRUA;C/S 2,8 AM 100 4X4;2014;20907;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2021;;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2020;;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2019;;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2018;;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2017;28305;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2016;26453;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2015;24171;USD
AGRALE;MARRUA;D/C 2,8 AM 100 4X4;2014;22187;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2021;;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2020;;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2019;;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2018;;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2017;32209;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2016;30102;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2015;27425;USD
AGRALE;MARRUA;D/C 2,8 AM 150 4X4;2014;25173;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2023;46327;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2022;44121;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2021;42020;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2020;40019;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2019;38114;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2018;;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2017;34649;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2016;32382;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2015;29749;USD
AGRALE;MARRUA;D/C 2,8 AM 200 4X4;2014;27307;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2026;111,66;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2025;122826;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2021;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2020;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2019;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2018;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2017;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2016;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2015;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 S/CAJA 4X4;2014;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2026;119,708;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2025;131679;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2021;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2020;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2019;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2018;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2017;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2016;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2015;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 S/CAJA 4X4;2014;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2026;118,972;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2025;130869;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2021;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2020;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2019;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2018;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2017;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2016;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2015;;USD
AGRALE;MARRUA;C/S 3,8 EUROVI AM 250 C/CAJA 4X4;2014;;USD
AGRALE;MARRUA;D/C 3,8 EUROVI AM 250 C/CAJA 4X4;2026;125,847;USD
